ANZSCO_Code,ANZSCO_Title,Core_Competencies,Score,Proficiency_level,Anchor_value
1213,Livestock Farmers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
1213,Livestock Farmers,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
1213,Livestock Farmers,Teamwork,5,Intermediate,"Recognise and avoid behaviours, like unkind gossip, that undermine effective group interaction"
1213,Livestock Farmers,Writing,6,Intermediate,Write a memo to staff outlining new directives
1213,Livestock Farmers,Reading,6,Intermediate,Read a memo from management describing new personnel policies
1213,Livestock Farmers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
1213,Livestock Farmers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
1213,Livestock Farmers,Oral communication,6,Intermediate,Give instructions to a lost driver
1213,Livestock Farmers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
1213,Livestock Farmers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1214,Mixed Crop and Livestock Farmers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
1214,Mixed Crop and Livestock Farmers,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
1214,Mixed Crop and Livestock Farmers,Teamwork,5,Intermediate,"Recognise and avoid behaviours, like unkind gossip, that undermine effective group interaction"
1214,Mixed Crop and Livestock Farmers,Writing,6,Intermediate,Write a memo to staff outlining new directives
1214,Mixed Crop and Livestock Farmers,Reading,6,Intermediate,Read a memo from management describing new personnel policies
1214,Mixed Crop and Livestock Farmers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
1214,Mixed Crop and Livestock Farmers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
1214,Mixed Crop and Livestock Farmers,Oral communication,6,Intermediate,Give instructions to a lost driver
1214,Mixed Crop and Livestock Farmers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
1214,Mixed Crop and Livestock Farmers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1321,Corporate Services Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
1321,Corporate Services Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
1321,Corporate Services Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
1321,Corporate Services Managers,Writing,7,Intermediate,Write a detailed literature review
1321,Corporate Services Managers,Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1321,Corporate Services Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
1321,Corporate Services Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
1321,Corporate Services Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1321,Corporate Services Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
1321,Corporate Services Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1322,Finance Managers,Numeracy,7,Intermediate,Write a detailed report based on a comprehensive statistical analysis of the causes of workplace accidents
1322,Finance Managers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
1322,Finance Managers,Teamwork,6,Intermediate,Initiate team problem solving sessions
1322,Finance Managers,Writing,7,Intermediate,Write a detailed literature review
1322,Finance Managers,Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1322,Finance Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
1322,Finance Managers,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
1322,Finance Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1322,Finance Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
1322,Finance Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1323,Human Resource Managers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
1323,Human Resource Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
1323,Human Resource Managers,Teamwork,8,High,Motivate a client and find ways to help them to stick to a healthy diet
1323,Human Resource Managers,Writing,7,Intermediate,Write a detailed literature review
1323,Human Resource Managers,Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1323,Human Resource Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
1323,Human Resource Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
1323,Human Resource Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1323,Human Resource Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
1323,Human Resource Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1324,Policy and Planning Managers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
1324,Policy and Planning Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
1324,Policy and Planning Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
1324,Policy and Planning Managers,Writing,7,Intermediate,Write a detailed literature review
1324,Policy and Planning Managers,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
1324,Policy and Planning Managers,Learning,8,High,Develop and implement a new business strategy based on changing market conditions
1324,Policy and Planning Managers,Problem solving,8,High,Examine records and data to investigate and prosecute corporate criminals
1324,Policy and Planning Managers,Oral communication,8,High,Explain foot care procedures to a diabetic patient
1324,Policy and Planning Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
1324,Policy and Planning Managers,Initiative and innovation,9,High,Collaborate with others to prepare and perform artistic productions
1325,Research and Development Managers,Numeracy,7,Intermediate,Write a detailed report based on a comprehensive statistical analysis of the causes of workplace accidents
1325,Research and Development Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
1325,Research and Development Managers,Teamwork,6,Intermediate,Initiate team problem solving sessions
1325,Research and Development Managers,Writing,7,Intermediate,Write a detailed literature review
1325,Research and Development Managers,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
1325,Research and Development Managers,Learning,8,High,Develop and implement a new business strategy based on changing market conditions
1325,Research and Development Managers,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
1325,Research and Development Managers,Oral communication,8,High,Explain foot care procedures to a diabetic patient
1325,Research and Development Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
1325,Research and Development Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1331,Construction Managers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
1331,Construction Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
1331,Construction Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
1331,Construction Managers,Writing,7,Intermediate,Write a detailed literature review
1331,Construction Managers,Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1331,Construction Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
1331,Construction Managers,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
1331,Construction Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1331,Construction Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
1331,Construction Managers,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
1332,Engineering Managers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
1332,Engineering Managers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
1332,Engineering Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
1332,Engineering Managers,Writing,7,Intermediate,Write a detailed literature review
1332,Engineering Managers,Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1332,Engineering Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
1332,Engineering Managers,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
1332,Engineering Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1332,Engineering Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
1332,Engineering Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1333,"Importers, Exporters and Wholesalers",Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
1333,"Importers, Exporters and Wholesalers",Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
1333,"Importers, Exporters and Wholesalers",Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
1333,"Importers, Exporters and Wholesalers",Writing,6,Intermediate,Write a memo to staff outlining new directives
1333,"Importers, Exporters and Wholesalers",Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1333,"Importers, Exporters and Wholesalers",Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
1333,"Importers, Exporters and Wholesalers",Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
1333,"Importers, Exporters and Wholesalers",Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1333,"Importers, Exporters and Wholesalers",Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
1333,"Importers, Exporters and Wholesalers",Initiative and innovation,7,Intermediate,Coordinate sales campaigns
1336,"Supply, Distribution and Procurement Managers",Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
1336,"Supply, Distribution and Procurement Managers",Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
1336,"Supply, Distribution and Procurement Managers",Teamwork,6,Intermediate,Initiate team problem solving sessions
1336,"Supply, Distribution and Procurement Managers",Writing,7,Intermediate,Write a detailed literature review
1336,"Supply, Distribution and Procurement Managers",Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1336,"Supply, Distribution and Procurement Managers",Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
1336,"Supply, Distribution and Procurement Managers",Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
1336,"Supply, Distribution and Procurement Managers",Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1336,"Supply, Distribution and Procurement Managers",Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
1336,"Supply, Distribution and Procurement Managers",Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1341,Child Care Centre Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
1341,Child Care Centre Managers,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
1341,Child Care Centre Managers,Teamwork,9,High,"Collaborate with housing providers, medical professionals and social workers on a crisis management plan for an at-risk young person"
1341,Child Care Centre Managers,Writing,6,Intermediate,Write a memo to staff outlining new directives
1341,Child Care Centre Managers,Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1341,Child Care Centre Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
1341,Child Care Centre Managers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
1341,Child Care Centre Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1341,Child Care Centre Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
1341,Child Care Centre Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1342,Health and Welfare Services Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
1342,Health and Welfare Services Managers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
1342,Health and Welfare Services Managers,Teamwork,6,Intermediate,Initiate team problem solving sessions
1342,Health and Welfare Services Managers,Writing,7,Intermediate,Write a detailed literature review
1342,Health and Welfare Services Managers,Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1342,Health and Welfare Services Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
1342,Health and Welfare Services Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
1342,Health and Welfare Services Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1342,Health and Welfare Services Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
1342,Health and Welfare Services Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1343,School Principals,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
1343,School Principals,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
1343,School Principals,Teamwork,8,High,Motivate a client and find ways to help them to stick to a healthy diet
1343,School Principals,Writing,7,Intermediate,Write a detailed literature review
1343,School Principals,Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1343,School Principals,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
1343,School Principals,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
1343,School Principals,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1343,School Principals,Planning and organising,10,High,"Develop a dynamic plan for a complex, multi-faceted project, with timelines that include regularly reviewing priorities, interdependencies and performance during implementation, proactively identifying and managing project risks"
1343,School Principals,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1344,Other Education Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
1344,Other Education Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
1344,Other Education Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
1344,Other Education Managers,Writing,7,Intermediate,Write a detailed literature review
1344,Other Education Managers,Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1344,Other Education Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
1344,Other Education Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
1344,Other Education Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1344,Other Education Managers,Planning and organising,10,High,"Develop a dynamic plan for a complex, multi-faceted project, with timelines that include regularly reviewing priorities, interdependencies and performance during implementation, proactively identifying and managing project risks"
1344,Other Education Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1351,ICT Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
1351,ICT Managers,Digital engagement,8,High,"Use Enterprise Resource Planning software to monitor transactional data from multiple sources including accounting, procurement and human resources and visualise this data for a company’s strategic plan"
1351,ICT Managers,Teamwork,6,Intermediate,Initiate team problem solving sessions
1351,ICT Managers,Writing,7,Intermediate,Write a detailed literature review
1351,ICT Managers,Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1351,ICT Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
1351,ICT Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
1351,ICT Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1351,ICT Managers,Planning and organising,10,High,"Develop a dynamic plan for a complex, multi-faceted project, with timelines that include regularly reviewing priorities, interdependencies and performance during implementation, proactively identifying and managing project risks"
1351,ICT Managers,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
1411,Cafe and Restaurant Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
1411,Cafe and Restaurant Managers,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
1411,Cafe and Restaurant Managers,Teamwork,8,High,Motivate a client and find ways to help them to stick to a healthy diet
1411,Cafe and Restaurant Managers,Writing,5,Intermediate,Prepare a standard operating procedures document
1411,Cafe and Restaurant Managers,Reading,6,Intermediate,Read a memo from management describing new personnel policies
1411,Cafe and Restaurant Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
1411,Cafe and Restaurant Managers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
1411,Cafe and Restaurant Managers,Oral communication,6,Intermediate,Give instructions to a lost driver
1411,Cafe and Restaurant Managers,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
1411,Cafe and Restaurant Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1413,Hotel and Motel Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
1413,Hotel and Motel Managers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
1413,Hotel and Motel Managers,Teamwork,9,High,"Collaborate with housing providers, medical professionals and social workers on a crisis management plan for an at-risk young person"
1413,Hotel and Motel Managers,Writing,7,Intermediate,Write a detailed literature review
1413,Hotel and Motel Managers,Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1413,Hotel and Motel Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
1413,Hotel and Motel Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
1413,Hotel and Motel Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1413,Hotel and Motel Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
1413,Hotel and Motel Managers,Initiative and innovation,9,High,Collaborate with others to prepare and perform artistic productions
1414,Licensed Club Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
1414,Licensed Club Managers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
1414,Licensed Club Managers,Teamwork,8,High,Motivate a client and find ways to help them to stick to a healthy diet
1414,Licensed Club Managers,Writing,6,Intermediate,Write a memo to staff outlining new directives
1414,Licensed Club Managers,Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1414,Licensed Club Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
1414,Licensed Club Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
1414,Licensed Club Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1414,Licensed Club Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
1414,Licensed Club Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1421,Retail Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
1421,Retail Managers,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
1421,Retail Managers,Teamwork,8,High,Motivate a client and find ways to help them to stick to a healthy diet
1421,Retail Managers,Writing,6,Intermediate,Write a memo to staff outlining new directives
1421,Retail Managers,Reading,6,Intermediate,Read a memo from management describing new personnel policies
1421,Retail Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
1421,Retail Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
1421,Retail Managers,Oral communication,6,Intermediate,Give instructions to a lost driver
1421,Retail Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
1421,Retail Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1491,"Amusement, Fitness and Sports Centre Managers",Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
1491,"Amusement, Fitness and Sports Centre Managers",Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
1491,"Amusement, Fitness and Sports Centre Managers",Teamwork,8,High,Motivate a client and find ways to help them to stick to a healthy diet
1491,"Amusement, Fitness and Sports Centre Managers",Writing,6,Intermediate,Write a memo to staff outlining new directives
1491,"Amusement, Fitness and Sports Centre Managers",Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1491,"Amusement, Fitness and Sports Centre Managers",Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
1491,"Amusement, Fitness and Sports Centre Managers",Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
1491,"Amusement, Fitness and Sports Centre Managers",Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1491,"Amusement, Fitness and Sports Centre Managers",Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
1491,"Amusement, Fitness and Sports Centre Managers",Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
1493,Conference and Event Organisers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
1493,Conference and Event Organisers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
1493,Conference and Event Organisers,Teamwork,9,High,"Collaborate with housing providers, medical professionals and social workers on a crisis management plan for an at-risk young person"
1493,Conference and Event Organisers,Writing,6,Intermediate,Write a memo to staff outlining new directives
1493,Conference and Event Organisers,Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1493,Conference and Event Organisers,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
1493,Conference and Event Organisers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
1493,Conference and Event Organisers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1493,Conference and Event Organisers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
1493,Conference and Event Organisers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2113,Photographers,Numeracy,3,Basic,Count the amount of change to be given to a customer
2113,Photographers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
2113,Photographers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2113,Photographers,Writing,5,Intermediate,Prepare a standard operating procedures document
2113,Photographers,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
2113,Photographers,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2113,Photographers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2113,Photographers,Oral communication,6,Intermediate,Give instructions to a lost driver
2113,Photographers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2113,Photographers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2114,Visual Arts and Crafts Professionals,Numeracy,3,Basic,Count the amount of change to be given to a customer
2114,Visual Arts and Crafts Professionals,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
2114,Visual Arts and Crafts Professionals,Teamwork,5,Intermediate,"Recognise and avoid behaviours, like unkind gossip, that undermine effective group interaction"
2114,Visual Arts and Crafts Professionals,Writing,5,Intermediate,Prepare a standard operating procedures document
2114,Visual Arts and Crafts Professionals,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
2114,Visual Arts and Crafts Professionals,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2114,Visual Arts and Crafts Professionals,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2114,Visual Arts and Crafts Professionals,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
2114,Visual Arts and Crafts Professionals,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
2114,Visual Arts and Crafts Professionals,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2123,"Film, Television, Radio and Stage Directors",Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2123,"Film, Television, Radio and Stage Directors",Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2123,"Film, Television, Radio and Stage Directors",Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2123,"Film, Television, Radio and Stage Directors",Writing,6,Intermediate,Write a memo to staff outlining new directives
2123,"Film, Television, Radio and Stage Directors",Reading,7,Intermediate,Read a book on leading and managing change in the workplace
2123,"Film, Television, Radio and Stage Directors",Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2123,"Film, Television, Radio and Stage Directors",Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2123,"Film, Television, Radio and Stage Directors",Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
2123,"Film, Television, Radio and Stage Directors",Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
