umap_x,umap_y,job_title,job_description,source
3.7806423,4.917922,Cafe and Restaurant Managers,"Cafe and Restaurant Managers organise and control the operations of cafes, restaurants and related establishments to provide dining and catering services.",government
3.9855268,5.4586473,Hotel and Motel Managers,"Hotel and Motel Managers organise and control the operations of hotels and motels to provide guest accommodation, meals and other services.",government
3.8169549,5.093439,Licensed Club Managers,"Licensed Club Managers organise and control the operations of licensed clubs to provide food, beverages, gaming, entertainment, sporting and other amenities for members.",government
4.2960463,5.141718,Retail Managers,Retail Managers organise and control the operations of establishments which provide retail services.,government
5.4376163,6.531969,"Amusement, Fitness and Sports Centre Managers","Amusement, Fitness and Sports Centre Managers organise, control and promote the activities, facilities and resources of amusement, fitness and sports centres.",government
1.356782,5.525736,Conference and Event Organisers,"Conference and Event Organisers organise and coordinate services for conferences, events, functions, banquets and seminars.",government
1.7419674,5.622095,Photographers,Photographers operate still cameras to take photographs.,government
2.0836234,6.2358956,Visual Arts and Crafts Professionals,"Visual Arts and Crafts Professionals create visual two- and three-dimensional concepts and forms through painting, drawing, carving, sculpting, modelling, printmaking, video, multimedia, found objects, ephemera, soundscapes and other media to communicate concepts and ideas.",government
1.741525,5.0816746,"Film, Television, Radio and Stage Directors","Film, Television, Radio and Stage Directors direct the artistic and production aspects of film, television, radio and stage productions.",government
2.7926304,5.654277,Journalists and Writers,"Journalists and Writers research and compile news stories, write and edit news reports, commentaries and feature stories for presentation in print and electronic media, and compose written material to advertise goods and services.",government
4.492742,6.011233,Financial Brokers,Financial Brokers operate as independent agents to facilitate the trading of commodities and arrange insurance and loans of money on behalf of clients.,government
4.244889,6.557782,Financial Dealers,Financial Dealers conduct financial market transactions on behalf of clients.,government
3.4769938,6.5366893,ICT Trainers,"ICT Trainers analyse and evaluate information-based system training needs and objectives, and develop, schedule and conduct ICT-based system training programs and courses.",government
4.9774623,6.9726663,Training and Development Professionals,"Training and Development Professionals plan, develop, implement and evaluate training and development programs to ensure management and staff acquire the skills and develop the competencies required by organisations to meet organisational objectives.",government
4.40496,7.1970477,Economists,"Economists perform economic research and analysis, develop and apply theories about production and distribution of goods and services and people's spending and financial behaviour, and provide advice to governments and organisations on economic policy issues.",government
3.673202,8.375494,Land Economists and Valuers,"Land Economists and Valuers provide advice on the administration and use of land and property, and assess the value of land, property and other items such as commercial equipment and objects of art.",government
3.7335901,6.3577294,Librarians,"Librarians develop, organise and manage library services such as collections of information, recreational resources and reader information services. ",government
4.674063,6.2189517,Advertising and Marketing Professionals,"Advertising and Marketing Professionals develop and coordinate advertising strategies and campaigns, determine the market for new goods and services, and identify and develop market opportunities for new and existing goods and services.",government
4.4039335,5.643583,ICT Sales Professionals,"ICT Sales Professionals manage client accounts and represent companies in selling a range of computer hardware, software and other ICT goods and services.",government
4.7246494,6.3829637,Public Relations Professionals,"Public Relations Professionals plan, develop, implement and evaluate information and communication strategies that create an understanding and a favourable view of organisations, their goods and services, and their role in the community.",government
4.3847656,5.5278926,Technical Sales Representatives,"Technical Sales Representatives represent companies in selling a range of industrial, medical and pharmaceutical goods and services.",government
2.146274,7.6128955,Air Transport Professionals,"Air Transport Professionals fly and navigate aircraft, control and direct air traffic to ensure the safe and efficient operation of aircraft in flight and on the ground, and instruct students in flying aircraft.",government
3.6262686,8.624505,Surveyors and Spatial Scientists,"Cartographers and Surveyors apply scientific and mathematical principles to design, prepare and revise maps and charts, plan, direct and conduct survey work to determine, delineate, plan and precisely position tracts of land, natural and constructed features, coastlines, marine floors and underground works, and manage related information systems.",government
2.801652,5.9613776,Interior Designers,"Interior Designers plan, design, detail and supervise the construction of commercial, industrial, retail and residential building interiors to produce an environment tailored to a purpose, with particular emphasis on space creation, space planning, and factors that enhance living and working environments.",government
3.8854382,8.377366,Urban and Regional Planners,"Urban and Regional Planners develop and implement plans and policies for the controlled use of urban and rural land, and advise on economic, environmental and social factors affecting land use.",government
2.2820997,7.950343,Electrical Engineers,"Electrical Engineers design, develop and supervise the manufacture, installation, operation and maintenance of equipment, machines and systems for the generation, distribution, utilisation and control of electric power.",government
2.2990086,6.785313,Electronics Engineers,"Electronics Engineers design, develop, adapt, install, test and maintain electronic components, circuits and systems used for computer systems, communication systems, entertainment and transport.",government
3.5300448,9.248614,Agricultural and Forestry Scientists,"Agricultural and Forestry Scientists advise farmers, rural industries and government on aspects of farming, develop techniques for increasing productivity, and study and develop plans and policies for the management of forest areas.",government
3.0227582,8.789675,"Geologists, Geophysicists and Hydrogeologists","Geologists and Geophysicists study the composition, structure and other physical attributes of the earth, locate and advise on the extraction of minerals, petroleum and ground water, and detect, monitor and forecast seismic, magnetic, electrical, thermal and oceanographic activity. ",government
5.280107,9.530772,Medical Laboratory Scientists,"Medical Laboratory Scientists conduct medical laboratory tests to assist in the diagnosis, treatment and prevention of disease.",government
6.6775923,9.164036,Veterinarians,"Veterinarians diagnose, treat and prevent animal diseases, ailments and injuries.",government
7.0975385,6.35577,Early Childhood Teachers,"Early Childhood Teachers teach the basics of numeracy, literacy, music, art and literature to early childhood (pre-primary) students and promote students' social, emotional, intellectual and physical development.",government
7.033998,6.547966,Primary School Teachers,"Primary School Teachers teach a range of subjects within a prescribed curriculum to primary school students and promote students' social, emotional, intellectual and physical development.",government
7.0034466,6.446364,Middle School Teachers,"Middle School Teachers teach one or more subjects within a prescribed curriculum to middle school or intermediate school students and promote students' social, emotional, intellectual and physical development.",government
6.9424553,6.400356,Secondary School Teachers,"Secondary School Teachers teach one or more subjects within a prescribed curriculum to secondary school students and promote students' social, emotional, intellectual and physical development.",government
6.9479146,6.449631,Special Education Teachers,"Special Education Teachers teach primary, middle or intermediate, and secondary school students with learning difficulties, hearing impairment and sight impairment, and promote students' social, emotional, intellectual and physical development.",government
6.796063,6.4354033,Vocational Education Teachers,"Vocational Education Teachers teach one or more subjects within a prescribed course of study at technical and further education (TAFE) institutes, polytechnics and other training institutes to tertiary students for vocational education and training purposes.",government
6.6037054,6.638498,Education Advisers and Reviewers,"Education Advisers and Reviewers conduct educational research, develop course curricula and associated teaching materials for use by educational institutions, and review and examine the work of teachers and the results from curriculum programs in school settings.",government
6.9262385,6.2399216,"Private Art, Dance, Drama and Music Teachers","Private Tutors and Teachers teach students in the practice, theory and performance of subjects, such as art, dance, drama and music, in private training establishments.",government
6.2370124,8.060491,Nutrition Professionals,"Dietitians apply the science of human nutrition to help people understand the relationship between food and health and make appropriate dietary choices to attain and maintain health, and to prevent and treat illness and disease.",government
6.5664525,9.24799,Chiropractors and Osteopaths,"Chiropractors and Osteopaths diagnose and treat physiological and mechanical disorders of the locomotor system and tissue strain, stress and dysfunction that impede normal neural, vascular and biochemical mechanisms, and provide advice on preventing these disorders.",government
6.1301446,8.282101,Complementary Health Therapists,"Complementary Health Therapists treat patients with physical, mental, spiritual and emotional needs by considering the whole person rather than focusing on specific symptoms and by using various therapies, techniques and practices.",government
5.780139,9.017695,Dental Practitioners,"Dental Practitioners diagnose and treat dental disease, restore normal oral function using a broad range of treatments, such as surgery and other specialist techniques, and advise on oral health.",government
6.2283053,7.980266,Occupational Therapists,"Occupational Therapists assess functional limitations of people resulting from illnesses and disabilities, and provide therapy to enable people to perform their daily activities and occupations.",government
6.6651807,9.220991,Physiotherapists,"Physiotherapists assess, treat and prevent disorders in human movement caused by injury or disease.",government
6.6039925,9.232871,Podiatrists,"Podiatrists prevent, diagnose and treat disorders of the feet.",government
6.5921564,8.561149,Anaesthetists,"Anaesthetists provide direct medical care to patients requiring general or local anaesthesia for surgical, diagnostic and other procedures such as prevention of pain and maintenance of body function.",government
6.235862,9.370304,Specialist Physicians,"Internal Medicine Specialists diagnose and treat internal human disorders and diseases using specialist testing, diagnostic and medical techniques.",government
6.643693,9.279088,Psychiatrists,"Psychiatrists diagnose, assess, treat and prevent human mental, emotional and behavioural disorders. ",government
6.6909356,9.136742,Surgeons,"Surgeons perform surgery to correct deformities, repair injuries, prevent and treat diseases, and improve human functioning and appearance. ",government
7.235019,8.032039,Midwives,"Midwives provide care and advice to women during pregnancy, labour and childbirth, and postnatal care for women and babies in a range of settings such as the home, community, hospitals, clinics and health units.",government
6.8174467,8.110327,Nurse Managers,"Nurse Managers manage health service units and sub-units of hospitals, aged care and community health care facilities, supervise nursing staff and financial resources to enable the provision of safe, cost effective nursing care within specified fields or for particular units, and monitor quality, clinical standards and professional development of nurses.  Registration or licensing is required.",government
6.9435287,8.203473,Registered Nurses,"Registered Nurses provide nursing care to patients in hospitals, aged care and other health care facilities, and in the community.  Registration or licensing is required.",government
2.905071,6.6076994,ICT Business and Systems Analysts,"ICT Business and Systems Analysts work with users to formulate system requirements, develop system plans and documentation, review and evaluate existing systems, and design and modify systems to meet users' business needs. ",government
1.9282665,6.3078103,Telecommunications Engineering Professionals,"Telecommunications Engineering Professionals design, construct, install, service and support telecommunications equipment, systems and facilities.",government
2.9488215,8.054044,Barristers,"Barristers plead cases before civil, criminal and industrial courts and other tribunals.",government
4.954676,7.7170544,Judicial and Legal Professionals,"Judicial andLegal Professionals hear legal and other matters in courts and tribunals; interpret, analyse, administer and provide advice on the law; and draft legislation.",government
4.998573,7.7055173,Solicitors,"Solicitors provide legal advice, prepare and draft legal documents, and conduct negotiations on behalf of clients on matters associated with the law.",government
6.518217,7.9217386,Counsellors,"Counsellors provide information on vocational, relationship, social and educational difficulties and issues, and work with people to help them to identify and define their emotional issues through therapies such as cognitive behaviour therapy, interpersonal therapy and other talking therapies.",government
5.9257836,7.66272,Ministers of Religion,"Ministers of Religion perform spiritual functions associated with beliefs and practices of religious faiths, and provide motivation, guidance and training in religious life for the people of congregations and parishes, and the wider community. ",government
6.101773,6.8868427,Social Professionals,"Social Professionals research and study human behaviour, society and institutions from current and historical perspectives, and transcribe text and recorded spoken material from one language into another.",government
6.2288804,7.078261,Social Workers,"Social Workers assess the social needs of individuals, families and groups, assist and empower people to develop and use the skills and resources needed to resolve social and other problems, and further human wellbeing and human rights, social justice and social development.",government
3.2373602,9.14721,Agricultural Technicians,"Agricultural Technicians perform tests and experiments, and provide technical support to assist Agricultural Scientists in areas such as research, production, servicing and marketing.",government
3.1949666,6.0666194,Primary Products Inspectors,"Primary Products Inspectors inspect animals, plants and agricultural produce and facilities to ensure compliance with government and industry standards with respect to quality, health and licensing.",government
2.552979,7.7849703,Electronic Engineering Draftspersons and Technicians,"Electronic Engineering Draftspersons and Technicians assist in electronic engineering research, design, manufacture, assembly, construction, operation and maintenance of equipment, facilities and distribution systems.",government
2.0778656,6.274134,Telecommunications Technical Specialists,"Telecommunications Technical Specialists develop, monitor and carry out technical support functions for telecommunications networks and install computer equipment, computer systems and microwave, telemetry, multiplexing, satellite and other radio and electromagnetic wave communication systems.",government
1.2417024,7.2188306,Automotive Electricians,"Automotive Electricians install, maintain and repair electrical wiring and electronic components in motor vehicles.",government
0.21790221,7.4152446,"Metal Casting, Forging and Finishing Trades Workers","Metal Casting, Forging & Finishing Trades fabricate mould patterns and form sand moulds and cores for the production of metal castings, heat and hammer metal into shape, and make, repair, coat and polish metal parts and articles.",government
1.5686469,6.1135683,Sheetmetal Trades Workers,"Sheetmetal Trades Workers mark out, shape, form and join sheetmetal and other materials to make products and components.",government
0.7054625,7.5092206,Panelbeaters,"Panelbeaters repair damage to metal, fibreglass and plastic body work on vehicles, and form replacement vehicle panels.",government
0.8607066,7.3142076,Vehicle Body Builders and Trimmers,"Vehicle Body Builders and Trimmers manufacture and repair prototype production units and purpose-built vehicle bodies, and install, repair and replace the interior trim of vehicles.",government
0.86962765,7.2048054,Vehicle Painters,"Vehicle Painters prepare surfaces of vehicles, match and mix colours and apply paint.",government
0.65918684,8.533419,Floor Finishers,"Floor Finishers measure, cut, install and repair soft and resilient floor coverings.",government
1.6309996,6.1460395,Painting Trades Workers,"Painting Trades Workers apply paint, varnish, wallpaper and other finishes to protect, maintain and decorate surfaces of buildings.",government
0.5741517,8.346943,Glaziers,"Glaziers measure, cut, finish, fit and install flat glass and mirrors.",government
0.8355861,8.137183,Roof Tilers,"Roof Tilers cover roofs with tiles, sheets and shingles to form a waterproof surface.",government
0.7642436,8.59234,Wall and Floor Tilers,"Wall and Floor Tilers lay ceramic, clay, slate, marble and glass tiles on external and internal walls and floors to provide protective and decorative finishes.",government
1.9136325,7.2542844,Electricians,"Electricians design, assemble, install, test, commission, diagnose, maintain and repair electrical networks, systems, circuits, equipment, components, appliances and facilities for industrial, commercial and domestic purposes, and service and repair lifts, escalators and related equipment.",government
1.8187143,7.4894023,Airconditioning and Refrigeration Mechanics,"Airconditioning and Refrigeration Mechanics assemble, install, maintain and repair industrial, commercial and domestic airconditioning and refrigeration systems and equipment.",government
1.6727835,6.3276186,Electrical Distribution Trades Workers,"Electrical Distribution Trades Workers prepare, install, repair, maintain and patrol electric power distribution networks.",government
1.733885,6.301031,Telecommunications Trades Workers,"Telecommunications Trades Workers install, maintain and repair data transmission equipment, aerial lines, conduits, cables, radio antennae and telecommunications equipment and appliances.",government
4.7480354,5.5767574,Bakers and Pastrycooks,"Bakers and Pastrycooks prepare and bake bread loaves and rolls, buns, cakes, biscuits and pastry goods.",government
0.4733582,6.9901795,Butchers and Smallgoods Makers,"Butchers and Smallgoods Makers select, cut trim, prepare and arrange meat for sale and supply, and manage the processes in the production of smallgoods.",government
3.6624458,4.803952,Chefs,Chefs plan and organise the preparation and cooking of food in dining and catering establishments.,government
3.655581,4.7625365,Cooks,"Cooks prepare, season and cook food in dining and catering establishments.",government
3.006602,7.2315755,Animal Attendants and Trainers,"Animal Attendants and Trainers train, feed, groom and care for animals.",government
6.929203,8.400913,Veterinary Nurses,Veterinary Nurses care for animals under treatment and in temporary residence at veterinary facilities and assist Veterinarians to perform procedures and operations.,government
4.9503045,5.40799,Florists,Florists prepare and sell floral arrangements.,government
3.371203,9.637475,Gardeners,"Gardeners plant, cultivate, maintain, plan and construct parks, gardens and landscapes, and inspect, diagnose and treat trees and shrubs.",government
1.1962492,5.660254,Greenkeepers,"Greenkeepers establish and maintain fine turf, grassed areas and synthetic surfaces used for sporting events.",government
3.1426108,9.632711,Nurserypersons,"Nurserypersons propagate and cultivate trees, shrubs, and ornamental and flowering plants in plant nurseries.",government
0.8238118,7.8901653,Hairdressers,"Hairdressers cut, style, colour, straighten and permanently wave hair, and treat hair and scalp conditions.",government
1.7754854,6.0348964,Graphic Pre-press Trades Workers,"Graphic Pre-press Trades Workers manipulate, set and compose text and graphics into a format suitable for printing and other visual media.",government
2.2285924,5.714285,Printers,"Printers set up and operate letterpress, lithographic, flexographic, gravure, newspaper, instant, digital and offset printing presses.",government
0.56393635,6.6321874,Upholsterers,"Upholsterers make, rebuild and repair upholstered articles such as chairs, sofas, beds and mattresses.",government
0.9912143,7.820721,Cabinetmakers,Cabinetmakers fabricate and repair wooden furniture.,government
1.4977908,8.205487,Boat Builders and Shipwrights,"Boat Builders and Shipwrights construct, fit out and repair boats and ships.",government
0.17401105,7.3939724,Jewellers,"Jewellers make and repair jewellery such as rings, brooches, chains and bracelets, craft objects out of precious metals, and cut, shape and polish rough gemstones to produce fashion and industrial jewels.",government
1.334843,8.428064,Signwriters,"Signwriters design, fabricate and paint signs for displays, buildings, hoardings, boats and structures.",government
7.083696,8.122342,Ambulance Officers and Paramedics,"Ambulance Officers and Paramedics provide emergency health care and transport for injured, sick, infirm and aged persons to medical facilities.",government
6.028152,8.072397,Diversional Therapists,"Diversional Therapists design and implement recreation and leisure-based activity programs to support, challenge and enhance the psychological, spiritual, social, emotional and physical wellbeing of individuals.",government
6.2245364,7.82583,Indigenous Health Workers,Indigenous Health Workers assist with the coordination and provision of health care delivery to Indigenous communities.,government
5.968849,8.3965225,Massage Therapists,"Massage Therapists perform therapeutic massage and administer body treatments for health, fitness and remedial purposes.",government
6.860727,6.7529187,Education Aides,"Education Aides perform non-teaching duties to assist teaching staff in schools, provide care and supervision for children in preschools, and provide assistance to Aboriginal and Torres Strait Islander students and their teachers.",government
7.123498,8.03535,Aged and Disabled Carers,"Aged and Disabled Carers provide general household assistance, emotional support, care and companionship for aged and disabled persons in their own homes.",government
5.5849733,8.919101,Dental Assistants,"Dental Assistants prepare patients for dental examination and assist Dental Practitioners, Hygienists and Therapists in providing care and treatment.",government
6.9326077,7.7986474,Special Care Workers,"Special Care Workers provide care and supervision for children in residential childcare establishments and correctional institutions, and provide care and support to people in refuges.",government
3.7630062,5.042615,Cafe Workers,Cafe Workers sell and serve food and beverages for consumption on premises in cafes.,government
5.7683935,6.5068736,Gaming Workers,Gaming Workers provide gaming services within casinos and other gambling establishments.,government
4.0696826,5.440957,Hotel Service Managers,Hotel Service Managers supervise and coordinate the activities of hotel service workers.,government
3.7316842,4.967258,Waiters,"Waiters serve food and beverages in hotels, restaurants and clubs.",government
4.481956,6.862392,Prison Officers,Prison Officers supervise and control the activities of inmates in prisons and other correctional institutions.,government
5.989513,8.429186,Beauty Therapists,"Beauty Therapists provide skin analyses, facial therapies, skin-care treatments and body treatments such as massage to clients.",government
0.9019346,7.172523,Driving Instructors,Driving Instructors instruct individuals and groups in the theory and application of driving motor vehicles.,government
5.759305,6.633389,Funeral Workers,Funeral Workers prepare bodies for viewing and burial and arrange and conduct funerals.,government
5.125894,8.165536,"Gallery, Museum and Tour Guides","Gallery, Museum and Tour Guides direct and guide visitors in galleries and museums, and escort visitors on sightseeing, educational and other tours.",government
1.7403475,7.3367944,Travel Attendants,"Travel Attendants provide services for the safety and comfort of passengers in aircraft, ships and railway sleeping cars.",government
5.6861043,7.23421,Fitness Instructors,"Fitness Instructors direct, instruct and guide individuals and groups in the pursuit of physical fitness and wellbeing.",government
5.637881,7.471478,Outdoor Adventure Guides,"Outdoor Adventure Guides direct, instruct and guide individuals and groups in outdoor adventure activities such as bungy jumping, fishing and hunting, mountaineering, trekking and whitewater rafting.",government
1.2800558,5.912714,"Sports Coaches, Instructors and Officials","Sports Coaches, Instructors and Officials coach, train and instruct participants in sports, and officiate at sporting events.",government
1.293569,5.616427,Sportspersons,Sportspersons participate in sporting events for monetary gain either as individuals or as members of a team.,government
4.150108,8.0144205,Office Managers,Office Managers organise and control the functions and resources of offices such as administrative systems and office personnel.,government
4.7352486,7.8968945,Personal Assistants,"Personal Assistants perform liaison, coordination and organisational tasks in support of Managers and Professionals.",government
4.182403,7.545163,General Clerks,General Clerks perform a range of clerical and administrative tasks.,government
5.0183887,6.083155,Information Officers,"Inquiry Clerks respond to personal, written and telephone enquiries and complaints about the organisation's goods and services, provide information and refer people to other sources.",government
4.0788403,6.521987,Bookkeepers,Bookkeepers maintain and evaluate records of financial transactions in account books and computerised accounting systems.,government
4.0168524,7.397811,Payroll Clerks,Payroll Clerks prepare payrolls and related records for employee salaries and statutory record-keeping purposes.,government
4.3647118,6.6913533,Bank Workers,"Bank Workers receive deposits and pay out money in financial and commercial institutions, keep records of transactions, issue receipts and cash cheques.",government
4.486425,6.7496915,Credit and Loans Officers,"Credit and Loans Officers analyse, evaluate and process credit and loan applications.",government
4.128376,7.34129,Betting Clerks,"Betting Clerks take bets from customers at betting agencies, over the telephone and on course.",government
3.6669676,7.0050364,Filing and Registry Clerks,Filing and Registry Clerks process and handle information and documents to maintain access to and security of database and record management systems.,government
3.6515155,7.3697677,Mail Sorters,"Mail Sorters receive, sort and despatch mail in organisations and postal sorting centres.",government
4.1047463,7.8100376,Survey Interviewers,Survey Interviewers interview people and record their responses to survey and market research questions on a range of topics.,government
1.8252233,6.1761084,Switchboard Operators,"Switchboard Operators operate telecommunication switchboards and consoles to assist callers establish telephone connections, and receive caller enquiries and fault reports.",government
3.64503,7.376768,Transport and Despatch Clerks,"Transport and Despatch Clerks verify and maintain records of incoming and outgoing goods, prepare goods for despatch, arrange clearance and collection of imported cargo from customs and bond stores, and arrange shipment of cargo for export.",government
5.0087023,7.6346254,Conveyancers and Legal Executives,"Conveyancers and Legal Executives act for and on behalf of clients in the areas of property transfer, company and business law, trusts, wills, probate and litigation.",government
4.926642,7.5963807,Court and Legal Clerks,"Court and Legal Clerks provide administrative and operational support to Legal Professionals by performing clerical work associated with the functions of courts, legal practices and the administration of trusts and estates.",government
5.136507,5.5916977,Debt Collectors,"Debt Collectors collect consumer, commercial, insurance and other forms of debt for clients, make arrangements to settle overdue accounts, formalise payment arrangements and follow up until accounts are fully paid.",government
4.678606,6.9925294,Human Resource Clerks,"Human Resource Clerks maintain and update personnel records such as information on transfers and promotions, employee leave taken and accumulated, salaries, superannuation and taxation, qualifications and training.",government
4.5632896,6.931849,Inspectors and Regulatory Officers,Inspectors and Regulatory Officers administer and enforce government and corporate regulations and standards.,government
5.398037,5.9070907,"Insurance Investigators, Loss Adjusters and Risk Surveyors","Insurance Investigators and Loss Adjusters conduct investigations into insurance claims to ensure their validity, inspect and assess the damage and loss to insured properties and businesses, estimate insurance costs, and inspect insured properties to evaluate conditions affecting underwriting standards.",government
4.5530596,8.092465,Library Assistants,"Library Assistants issue, receive and shelve library items and maintain associated records.",government
3.5745666,7.882711,"Auctioneers, and Stock and Station Agents","Auctioneers, and Stock and Station Agents sell property at auction, and advise and represent farmers in business transactions such as buying and selling livestock, rural property, and goods and services.",government
5.12854,5.812047,Insurance Agents,Insurance Agents represent insurance companies in selling insurance to clients.,government
4.5725975,5.346447,Sales Representatives,Sales Representatives represent companies to sell their goods and business services to wholesale and retail establishments.,government
4.486497,5.2345886,Sales Assistants ,"Sales Assistants sell goods and services, such as food, clothing, hardware, household appliances, office supplies and cosmetics, in retail and wholesale establishments.",government
4.8292065,5.29403,Pharmacy Sales Assistants,"Pharmacy Sales Assistants sell pharmaceutical goods, toiletries and related goods in retail pharmacies.",government
4.3521156,5.177562,Retail Supervisors,Retail Supervisors supervise and coordinate the activities of retail sales workers.,government
4.7457986,5.924808,Street Vendors and Related Salespersons,"Street Vendors and Related Salespersons sell goods and services on established routes, door-to-door, and at street and market locations.",government
3.991227,8.032612,Checkout Operators and Office Cashiers,"Checkout Operators and Office Cashiers operate cash registers and receive payments from customers, and issue receipts and return change due.",government
4.6846504,5.4990606,Telemarketers,"Telemarketers telephone existing and prospective customers to promote goods and services, and obtain sales and arrange sales visits.",government
1.296024,6.303915,Ticket Salespersons,"Ticket Salespersons sell tickets and make reservations for services such as travel and admission to sporting and entertainment venues, and collect fares on transport vehicles.",government
2.1327503,6.2073765,Visual Merchandisers,"Visual Merchandisers plan and install internal, window and fixed displays to show goods to their best advantage.",government
0.49772546,8.47457,"Clay, Concrete, Glass and Stone Processing Machine Operators","Clay, Concrete, Glass & Stone Machine Operators operate machines to manufacture and finish a variety of clay, concrete, glassware and stone products by extruding, shaping, mixing, grinding, cutting and other processes.",government
2.6831172,7.528947,Industrial Spraypainters,Industrial Spraypainters operate spray painting equipment to paint and apply other industrial coatings to manufactured items.,government
0.38972926,8.308206,Paper and Wood Processing Machine Operators,"Paper and Wood Processing Machine Operators operate machines to manufacture paper packaging and other paper products, fibreboard stock, logs, plywood, particle board, solid laminate and similar timber products.",government
2.4449003,5.834429,Photographic Developers and Printers,"Photographic Developers and Printers edit and adjust digital images, develop photographic film, and print photographic images from digital media, negatives and positives using computer software, fully automatic equipment and by separate processes.",government
0.36455435,8.272287,Plastics and Rubber Production Machine Operators,Plastics and Rubber Production Machine Operators operate machines to manufacture and finish plastic and rubber products.,government
0.31984362,8.120539,Sewing Machinists,Sewing Machinists operate industrial sewing machines to sew and finish garments and soft furnishings such as curtains.,government
0.49143592,8.256677,Textile and Footwear Production Machine Operators,"Textile and Footwear Production Machine Operators operate machines to process raw hides and skins, raw textile fibres, and dye, weave and knit fibres for use in textile and footwear production.",government
1.7293799,9.493972,"Crane, Hoist and Lift Operators","Crane, Hoist and Lift Operators operate stationary and mobile cranes, hoists, lifts and winches to lift, move and place materials, equipment and people in areas such as building sites, factories, mines, sawmills, wharves and shipyards.",government
0.29297706,7.4636993,Engineering Production Workers,"Engineering Production Systems Workers perform a range of production process tasks to refine and treat metals and mineral ore, fire ceramics, and operate plant to produce and finish metal products such as rods, tubing and structural shapes, and moulds for casting.",government
1.3838241,6.9585953,Forklift Drivers,"Forklift Drivers operate forklifts to move bulk materials, containers, crates, palletised goods, cartons and bales.",government
1.3832232,6.990769,Automobile Drivers,Automobile Drivers drive motor cars to transport passengers.,government
1.4353896,6.7414966,Bus and Coach Drivers,Bus and Coach Drivers drive buses and coaches to transport passengers.,government
1.4620473,6.9602237,Delivery Drivers,Delivery Drivers drive vans and cars to deliver goods.,government
1.3046651,6.9800797,Truck Drivers,"Truck Drivers drive heavy trucks, removal vans, tankers and tow trucks to transport bulky goods and liquids.",government
3.67773,7.3258414,Storepersons,"Storepersons receive, handle and despatch goods in stores and warehouses.",government
0.9460492,7.409603,Car Detailers,"Car Detailers wash and clean exteriors and interiors of motor vehicles, and touch up paint work, glass and upholstery to prepare them for sale or rent.",government
3.1885464,7.790766,Commercial Cleaners,"Commercial Cleaners clean offices, residential complexes, hospitals, schools, industrial work areas, industrial machines, construction sites and other commercial premises using heavy duty cleaning equipment.",government
3.1487665,7.7284303,Domestic Cleaners,"Domestic Cleaners clean and tidy private dwellings such as houses, units, flats, apartments and townhouses.",government
3.9951215,5.381552,Housekeepers,"Housekeepers perform cleaning and housekeeping duties in hotels, motels and other commercial premises, and in homes.",government
5.7515826,6.6371436,Laundry Workers,"Laundry Workers sort, clean, fold, iron and package linen, clothing and other items in laundries and drycleaning establishments, and homes.",government
0.8362048,8.766737,Concreters,"Concreters pour, spread, smooth and finish concrete for structures such as floors, stairs, ramps, footpaths and bridges.",government
